ECG_VALUE,ECG_TIME,BPM_VALUE,BPM_TIME,AUX_VALUE,AUX_TIME,PPG_VALUE,PPG_TIME
1890,862429,-5.0194399999999995,862429,51,862429,62006,862429,
2246,862441,-4.94256,862441,50,862441,62025,862439,
1941,862449,-4.94256,862449,51,862449,62068,862449,
1927,862471,-4.865679999999999,862471,51,862471,62120,862469,
1956,862491,-4.94256,862491,51,862491,62191,862489,
2180,862519,-4.865679999999999,862519,51,862519,62292,862520,
2184,862521,-4.94256,862521,51,862521,62292,862520,
1979,862569,-4.94256,862569,51,862569,62275,862570,
2075,862591,-4.94256,862591,51,862591,62273,862590,
2209,862639,-4.865679999999999,862639,51,862639,62236,862640,
2024,862686,-5.0194399999999995,862686,52,862686,62353,862686,
1985,862689,-5.0194399999999995,862689,51,862689,62334,862690,
2006,862691,-4.94256,862691,52,862691,62334,862690,
2013,862747,-4.865679999999999,862747,51,862747,62510,862741,
2035,862767,-4.94256,862767,51,862767,62574,862761,
2030,862781,-4.94256,862781,51,862781,62589,862781,
1881,862807,-4.865679999999999,862807,51,862807,62613,862801,
1858,862811,-4.7888,862811,51,862811,62618,862811,
2164,862817,-4.94256,862817,51,862817,62618,862811,
2017,862831,-4.94256,862831,51,862831,62627,862831,
2261,862857,-4.94256,862857,51,862857,62604,862857,
2452,862885,-4.865679999999999,862885,51,862885,62666,862879,
1184,862897,-4.94256,862897,50,862897,62650,862897,
1961,862917,-4.94256,862917,52,862917,62643,862917,
2027,862931,-5.0194399999999995,862931,51,862931,62705,862929,
2144,862937,-4.865679999999999,862937,51,862937,62653,862937,
2177,862939,-4.94256,862939,51,862939,62663,862939,
2148,862941,-4.865679999999999,862941,51,862941,62663,862939,
2010,862945,-4.94256,862945,51,862945,62663,862939,
2268,862959,-4.7888,862959,51,862959,62707,862959,
1950,862989,-4.865679999999999,862989,51,862989,62809,862989,
2201,863021,-4.94256,863021,52,863021,62890,863022,
2090,863025,-5.0194399999999995,863025,51,863025,62890,863022,
2050,863029,-4.865679999999999,863029,51,863029,62938,863029,
2084,863031,-4.865679999999999,863031,51,863031,62865,863032,
1948,863049,-4.865679999999999,863049,52,863049,62973,863049,
